system,system_name,id,document,final_score,table_score,title_layout_score,text_score,chart_score,gt_chart_count,table_weight,title_layout_weight,text_weight,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,001,食品饮料行业深度报告,48.7825,99.4747,91.1356,34.7129,0.0,62,0.0430051407844263,0.2,0.7569948592155737,100.0,98.6867,2,0,0,2,0,normalized_predictions/paddleocr-vl-1.6-cross-page/001.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-cross-page/documents/001_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,002,传媒行业深度报告,82.417,99.3788,96.2874,76.9751,0.0,17,0.07050064574944921,0.2,0.7294993542505508,100.0,98.447,6,0,0,6,0,normalized_predictions/paddleocr-vl-1.6-cross-page/002.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-cross-page/documents/002_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,003,创新药产业链深度报告,72.9187,97.9682,91.2586,61.4263,0.0,44,0.1512229732252885,0.2,0.6487770267747116,98.2667,97.5205,8,0,1,8,0,normalized_predictions/paddleocr-vl-1.6-cross-page/003.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-cross-page/documents/003_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,004,创新药国际化深度报告,86.1969,98.8339,95.6449,74.7491,0.0,12,0.3017949975478176,0.2,0.4982050024521824,100.0,97.0847,8,0,0,8,0,normalized_predictions/paddleocr-vl-1.6-cross-page/004.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-cross-page/documents/004_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,005,中国平安,86.2798,86.5395,72.8761,91.3006,0.0,21,0.280578306860762,0.2,0.519421693139238,88.9099,82.9838,186,14,0,162,24,normalized_predictions/paddleocr-vl-1.6-cross-page/005.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-cross-page/documents/005_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,006,阿里巴巴,92.7236,88.7964,85.0577,96.5581,100.0,0,0.19769362511893437,0.2,0.6023063748810658,92.4865,83.2613,49,2,0,45,4,normalized_predictions/paddleocr-vl-1.6-cross-page/006.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-cross-page/documents/006_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,007,美团,85.1932,86.5648,66.6624,90.7435,0.0,3,0.17568220898646797,0.2,0.624317791013532,88.0188,84.3838,159,0,2,120,39,normalized_predictions/paddleocr-vl-1.6-cross-page/007.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-cross-page/documents/007_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,008,先锋新材,94.2546,90.8731,89.071,98.9491,100.0,0,0.3366624259969748,0.2,0.4633375740030252,91.7001,89.6324,220,0,8,198,22,normalized_predictions/paddleocr-vl-1.6-cross-page/008.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-cross-page/documents/008_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,009,紫天科技,94.7258,87.5759,94.3599,99.5346,0.0,1,0.315574500982466,0.2,0.48442549901753407,90.6349,82.9875,182,1,6,182,0,normalized_predictions/paddleocr-vl-1.6-cross-page/009.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-cross-page/documents/009_report.md
paddleocr-vl-1.6-cross-page,PaddleOCR-VL-1.6-0.9B — cross-page merge,010,万和电气,96.2888,93.3859,95.2721,99.1205,0.0,1,0.359576110604253,0.2,0.4404238893957471,94.0794,92.3457,216,0,9,216,0,normalized_predictions/paddleocr-vl-1.6-cross-page/010.md,normalize_paddleocr_cross_page.py,normalized_predictions/paddleocr-vl-1.6-cross-page/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-cross-page/documents/010_report.md
