system,system_name,id,document,final_score,table_score,title_layout_score,text_score,chart_score,gt_chart_count,table_weight,title_layout_weight,text_weight,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,001,食品饮料行业深度报告,46.7455,58.3365,89.7963,34.7129,0.0,62,0.0430051407844263,0.2,0.7569948592155737,70.4139,40.2202,2,0,1,2,0,normalized_predictions/paddleocr-vl-1.6-pagewise/001.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-pagewise/documents/001_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,002,传媒行业深度报告,82.7385,99.3788,97.8945,76.9751,0.0,17,0.07050064574944921,0.2,0.7294993542505508,100.0,98.447,6,0,0,6,0,normalized_predictions/paddleocr-vl-1.6-pagewise/002.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-pagewise/documents/002_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,003,创新药产业链深度报告,71.116,87.1974,90.389,61.4263,0.0,44,0.1512229732252885,0.2,0.6487770267747116,89.3533,83.9636,8,0,3,8,0,normalized_predictions/paddleocr-vl-1.6-pagewise/003.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-pagewise/documents/003_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,004,创新药国际化深度报告,86.1414,98.8339,95.3671,74.7491,0.0,12,0.3017949975478176,0.2,0.4982050024521824,100.0,97.0847,8,0,0,8,0,normalized_predictions/paddleocr-vl-1.6-pagewise/004.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-pagewise/documents/004_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,005,中国平安,85.7357,89.3609,71.8196,89.14,0.0,21,0.2707357596898584,0.2,0.5292642403101416,91.8623,85.6088,186,0,3,162,24,normalized_predictions/paddleocr-vl-1.6-pagewise/005.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-pagewise/documents/005_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,006,阿里巴巴,92.7927,88.7964,85.4032,96.5581,100.0,0,0.19769362511893437,0.2,0.6023063748810658,92.4865,83.2613,49,2,0,45,4,normalized_predictions/paddleocr-vl-1.6-pagewise/006.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-pagewise/documents/006_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,007,美团,84.4694,89.2476,65.0977,89.3297,0.0,3,0.16874771316411266,0.2,0.6312522868358874,90.8236,86.8837,161,0,2,120,41,normalized_predictions/paddleocr-vl-1.6-pagewise/007.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-pagewise/documents/007_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,008,先锋新材,89.3735,77.4903,87.1928,98.9491,100.0,0,0.3366624259969748,0.2,0.4633375740030252,79.1897,74.9412,224,0,52,197,27,normalized_predictions/paddleocr-vl-1.6-pagewise/008.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-pagewise/documents/008_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,009,紫天科技,84.9725,58.0091,92.568,99.3268,0.0,1,0.3146963793084941,0.2,0.4853036206915059,61.9384,52.1152,182,0,56,182,0,normalized_predictions/paddleocr-vl-1.6-pagewise/009.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-pagewise/documents/009_report.md
paddleocr-vl-1.6-pagewise,PaddleOCR-VL-1.6-0.9B — no cross-page merge,010,万和电气,82.1168,55.7417,92.4943,98.8072,0.0,1,0.35824152691039224,0.2,0.4417584730896078,59.5341,50.053,215,0,91,215,0,normalized_predictions/paddleocr-vl-1.6-pagewise/010.md,normalize_paddleocr_pagewise.py,normalized_predictions/paddleocr-vl-1.6-pagewise/normalization_manifest.json,scores/with_charts/paddleocr-vl-1.6-pagewise/documents/010_report.md
