system,system_name,id,document,final_score,table_score,title_layout_score,text_score,chart_score,gt_chart_count,table_weight,title_layout_weight,text_weight,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),001,食品饮料行业深度报告,90.648,87.0272,89.0893,91.6384,98.9196,62,0.10421804844115601,0.2,0.695781951558844,84.7479,90.4462,2,0,0,2,0,normalized_predictions/mineru-3.4.0-hybrid-high/001.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/without_charts/mineru-3.4.0-hybrid-high/documents/001_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),002,传媒行业深度报告,93.0635,97.9224,88.4622,93.7744,56.6478,17,0.08474885844748858,0.2,0.7152511415525115,100.0,94.8061,6,0,0,6,0,normalized_predictions/mineru-3.4.0-hybrid-high/002.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/without_charts/mineru-3.4.0-hybrid-high/documents/002_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),003,创新药产业链深度报告,95.944,98.1856,87.7845,97.9083,94.7324,44,0.2181661458894516,0.2,0.5818338541105484,99.2211,96.6324,8,0,1,8,0,normalized_predictions/mineru-3.4.0-hybrid-high/003.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/without_charts/mineru-3.4.0-hybrid-high/documents/003_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),004,创新药国际化深度报告,96.5848,99.3348,90.6794,97.0596,63.0953,12,0.35215749112967837,0.2,0.44784250887032173,99.6833,98.8122,8,0,0,8,0,normalized_predictions/mineru-3.4.0-hybrid-high/004.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/without_charts/mineru-3.4.0-hybrid-high/documents/004_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),005,中国平安,90.6614,96.6257,73.361,94.1283,57.5681,21,0.2749194198227236,0.2,0.5250805801772763,97.3664,95.5146,191,0,1,166,25,normalized_predictions/mineru-3.4.0-hybrid-high/005.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/without_charts/mineru-3.4.0-hybrid-high/documents/005_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),006,阿里巴巴,94.1474,93.936,82.4568,98.0988,100.0,0,0.19769362511893437,0.2,0.6023063748810658,94.9527,92.4109,50,1,0,46,4,normalized_predictions/mineru-3.4.0-hybrid-high/006.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/without_charts/mineru-3.4.0-hybrid-high/documents/006_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),007,美团,87.8712,94.091,67.8943,92.5327,4.9204,3,0.17084340526523978,0.2,0.6291565947347603,94.6991,93.1788,169,0,7,124,45,normalized_predictions/mineru-3.4.0-hybrid-high/007.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/without_charts/mineru-3.4.0-hybrid-high/documents/007_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),008,先锋新材,92.6751,89.6602,83.0751,99.0095,100.0,0,0.3366624259969748,0.2,0.4633375740030252,90.7194,88.0715,218,0,11,202,16,normalized_predictions/mineru-3.4.0-hybrid-high/008.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/without_charts/mineru-3.4.0-hybrid-high/documents/008_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),009,紫天科技,98.0102,99.2586,91.4367,99.9102,0.0,1,0.3150954955342269,0.2,0.4849045044657732,99.1696,99.3921,182,0,0,182,0,normalized_predictions/mineru-3.4.0-hybrid-high/009.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/without_charts/mineru-3.4.0-hybrid-high/documents/009_report.md
mineru-3.4.0-hybrid-high,MinerU 3.4.0 — Hybrid backend (effort=high; MinerU2.5-Pro-2605-1.2B),010,万和电气,91.3764,79.8079,93.6347,99.7638,0.0,1,0.3588679278440194,0.2,0.44113207215598066,81.2686,77.6167,215,0,21,215,0,normalized_predictions/mineru-3.4.0-hybrid-high/010.md,normalize_mineru_hybrid.py,normalized_predictions/mineru-3.4.0-hybrid-high/normalization_manifest.json,scores/without_charts/mineru-3.4.0-hybrid-high/documents/010_report.md
