system,system_name,id,document,final_score,table_score,title_layout_score,text_score,chart_score,gt_chart_count,table_weight,title_layout_weight,text_weight,table_structure_score,table_content_score,matched_table_count,missing_table_count,extra_table_count,primary_selected_pair_count,semi_semantic_selected_pair_count,prediction,normalization_adapter,normalization_manifest,report
self-developed-parser,自研解析模型（版本未记录）,001,食品饮料行业深度报告,81.6851,49.5502,89.1491,84.353,0.0,62,0.10421804844115601,0.2,0.695781951558844,57.4367,37.7205,2,0,1,2,0,normalized_predictions/self-developed-parser/001.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/without_charts/self-developed-parser/documents/001_report.md
self-developed-parser,自研解析模型（版本未记录）,002,传媒行业深度报告,93.3731,84.8129,93.0011,94.4914,0.0,17,0.08474885844748858,0.2,0.7152511415525115,87.0667,81.4322,5,1,0,5,0,normalized_predictions/self-developed-parser/002.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/without_charts/self-developed-parser/documents/002_report.md
self-developed-parser,自研解析模型（版本未记录）,003,创新药产业链深度报告,95.8708,98.7898,94.8468,95.1282,0.7064,44,0.2181661458894516,0.2,0.5818338541105484,99.0381,98.4172,8,0,0,8,0,normalized_predictions/self-developed-parser/003.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/without_charts/self-developed-parser/documents/003_report.md
self-developed-parser,自研解析模型（版本未记录）,004,创新药国际化深度报告,74.8853,40.2021,92.297,94.3823,0.0,12,0.35215749112967837,0.2,0.44784250887032173,44.3312,34.0085,5,3,0,5,0,normalized_predictions/self-developed-parser/004.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/without_charts/self-developed-parser/documents/004_report.md
self-developed-parser,自研解析模型（版本未记录）,005,中国平安,92.037,90.4868,83.8596,96.023,0.0,21,0.280578306860762,0.2,0.519421693139238,93.0345,86.6652,187,13,0,163,24,normalized_predictions/self-developed-parser/005.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/without_charts/self-developed-parser/documents/005_report.md
self-developed-parser,自研解析模型（版本未记录）,006,阿里巴巴,94.5388,90.7435,88.5653,97.7681,100.0,0,0.19769362511893437,0.2,0.6023063748810658,94.7716,84.7013,53,0,0,49,4,normalized_predictions/self-developed-parser/006.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/without_charts/self-developed-parser/documents/006_report.md
self-developed-parser,自研解析模型（版本未记录）,007,美团,92.3908,89.0289,85.9054,95.4144,0.0,3,0.17568220898646797,0.2,0.624317791013532,90.3291,87.0784,170,0,5,123,47,normalized_predictions/self-developed-parser/007.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/without_charts/self-developed-parser/documents/007_report.md
self-developed-parser,自研解析模型（版本未记录）,008,先锋新材,93.3348,87.5689,92.0599,98.0747,100.0,0,0.3366624259969748,0.2,0.4633375740030252,89.0001,85.422,220,0,16,192,28,normalized_predictions/self-developed-parser/008.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/without_charts/self-developed-parser/documents/008_report.md
self-developed-parser,自研解析模型（版本未记录）,009,紫天科技,91.3471,81.8557,90.3393,97.9462,0.0,1,0.315574500982466,0.2,0.48442549901753407,83.718,79.0623,182,1,15,182,0,normalized_predictions/self-developed-parser/009.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/without_charts/self-developed-parser/documents/009_report.md
self-developed-parser,自研解析模型（版本未记录）,010,万和电气,91.101,81.0343,92.8939,98.5057,0.0,1,0.359576110604253,0.2,0.4404238893957471,82.76,78.4457,216,0,25,216,0,normalized_predictions/self-developed-parser/010.md,normalize_self_developed.py,normalized_predictions/self-developed-parser/normalization_manifest.json,scores/without_charts/self-developed-parser/documents/010_report.md
